_masterEventId,_title,_rootPath,_masterReleaseLabelId
101,Operation: Slump Escape!,common,223041903
102,Take Look at Our Town,common,223043004
103,е…ҚиІ» Tour,common,223051101
104,Come Have Funж–јNumazu,common,223051504
105,е…ҚиІ» Tour,common,223052601
106,ImagineпјҢConnectпјҢNetwork!,common,223053104
107,е…ҚиІ» Tour,common,223061101
108,Teamup жј”е”ұжңғ,common,223061504
109,Seagull Mayhem Delivery,common,223063004
110,е…ҚиІ» Tour,common,223071101
111,Teamup жј”е”ұжңғ,common,223071505
112,е…ҚиІ» Tour,common,223072601
113,Beach Flag Racing,common,223073104
114,е…ҚиІ» Tour,common,223081101
115,Teamup жј”е”ұжңғ,common,223081504
116,е…ҚиІ» Tour,common,223082601
117,Silver MoonиҮіShining Knoll,common,223083104
118,е…ҚиІ» Tour,common,223091101
119,Teamup жј”е”ұжңғ,common,223091504
120,е…ҚиІ» Tour,common,223092601
121,Halloween: What's Gonna Jump out at Me?!,common,223093004
122,е…ҚиІ» Tour,common,223101101
123,Half зҙҖеҝөж—Ҙ,common,223101508
124,е…ҚиІ» Tour,common,223102601
125,Pit--pat School Information Session,common,223103104
126,е…ҚиІ» Tour,common,223111101
127,Star Challenge,common,223111504
128,е…ҚиІ» Tour,common,223112601
129,Christmas Parties Are Best!,common,223113004
130,е…ҚиІ» Tour,common,223121102
131,Teamup жј”е”ұжңғ,common,223121507
132,е…ҚиІ» Tour,common,223122603
133,Awa Isle HAPPY NEW YEAR!,common,223123104
134,е…ҚиІ» Tour,common,224011106
135,Star Challenge,common,224011504
136,е…ҚиІ» Tour,common,224012702
137,Who Will Get Chocolate?!,common,224013104
138,е…ҚиІ» Tour,common,224021006
139,Star Challenge,common,224021404
140,е…ҚиІ» Tour,common,224022305
141,Feelings Come Across on White Day,common,224030104
